FH,SH,TH,DY,Fb,OH,UP,DK,DJ,class
-1,-0.578947,-1,-1,-0.996599,-0.179466,-1,0.99317,0.986908,virus
-0.6,-0.714286,-0.5,-0.5,-0.991606,-0.689676,0.995344,0.499003,0.835018,virus
-1,-0.789474,-1,-1,-0.997449,0.262048,-1,0.999445,0.998591,virus
-1,-0.263158,-0.6,-0.666667,-0.995748,-0.468963,0.760072,0.31044,0.687039,no-virus
0.2,-0.714286,0,0,-0.995803,-0.203117,0.969512,-1,0.900515,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682141,1,-0.547406,0.999704,virus
-1,-0.894737,-1,-1,-0.997449,0.325073,-1,0.982143,0.97865,virus
-1,-0.428571,-0.5,-0.5,-0.989507,-0.251945,0.941282,-1,0.813881,virus
-1,-0.894737,0.2,0,-0.988946,-0.385753,0.99793,-1,0.997289,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.672185,0.999147,-0.54929,0.985226,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.42052,0.998361,-1,0.98702,virus
-1,-0.894737,0.8,0.5,-0.991497,-0.178259,0.992726,-1,0.98978,virus
-1,-0.789474,-0.4,-0.5,-1,-0.462553,0.98039,-1,0.975028,virus
-0.714286,-0.894737,-0.8,-0.833333,-0.992347,-0.413807,0.795195,0.546817,0.454088,no-virus
-1,-0.789474,-0.6,-0.666667,-1,-0.299981,0.982869,0.999111,0.986902,virus
-1,-0.684211,-0.4,-0.5,-0.994048,-0.235448,0.999379,-1,0.998375,virus
-0.142857,-0.894737,-1,-1,-0.997449,-0.939451,-1,0.998759,0.99276,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.78301,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.994898,-0.251279,0.973368,-0.049795,0.942485,virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.326224,0.935531,0.532317,-0.288872,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.683471,0.999196,-0.571941,0.994275,virus
-1,-0.894737,-1,-1,-0.997449,0.331718,-1,0.822335,0.788808,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.780329,no-virus
-1,-0.142857,-0.5,-0.5,-0.989507,-0.428485,0.98114,-0.460673,0.627443,no-virus
-0.428571,-0.789474,-1,-1,-0.994898,-0.35388,-1,0.39724,0.26421,no-virus
-0.142857,-1,-1,-1,-0.995748,-0.322568,-1,0.964647,0.953706,virus
-1,-0.894737,-0.4,-0.5,-0.998299,-0.283183,0.999197,-0.460778,0.983807,virus
-1,-0.789474,0.4,0.166667,-1,-0.25315,0.998912,-1,0.985781,virus
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.340546,0.999741,0.992986,0.99712,virus
-1,-0.684211,-1,-1,-0.994048,-0.496913,-1,0.975902,0.961053,virus
-0.142857,-0.789474,-1,-1,-0.990646,-0.035303,0.945787,0.919233,0.898135,virus
-0.6,-0.428571,-0.5,-0.5,-0.985309,-0.413045,0.910107,-0.659738,0.612264,no-virus
-0.6,-0.714286,-0.5,-0.5,-0.993704,-0.691299,0.995608,0.050561,0.985554,virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.427198,0.845344,0.514132,-0.508717,no-virus
-0.714286,-0.894737,-0.6,-0.666667,-0.998299,-0.41009,0.997537,-1,0.986166,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.040579,0.999328,-1,0.998057,virus
-0.714286,-0.894737,-0.8,-0.833333,-0.988946,-0.326122,0.980255,0.945425,0.942786,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,0.065723,0.998528,-1,0.99797,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,0.179467,0.805891,-1,0.744079,no-virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.779449,no-virus
-1,-0.684211,-0.6,-0.666667,-0.997449,0.367907,0.94523,-0.548714,0.90274,virus
-1,-0.894737,-1,-1,-0.995748,-0.54165,-1,0.996093,0.987068,virus
-1,-0.789474,-0.6,-0.666667,-0.995748,0.117894,0.626171,-1,0.551399,no-virus
-0.714286,-0.789474,0,-0.166667,-0.991497,-0.318357,0.971357,-1,0.961488,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.988095,-0.483778,0.985266,0.490194,0.97072,virus
-0.714286,-0.684211,-1,-1,-0.997449,-0.932797,-1,0.991848,0.982256,virus
-1,-0.789474,-0.6,-0.666667,-0.997449,0.45822,0.999478,-1,0.99874,virus
-0.142857,-0.894737,-1,-1,-0.992347,-0.564686,-1,0.927983,0.865249,virus
-0.714286,-0.789474,-0.8,-0.833333,-0.992347,-0.549531,0.977935,0.906274,0.948545,virus
0.2,-1,-0.25,-0.25,-0.989507,-0.674564,0.997175,-1,0.949179,virus
-0.142857,-0.578947,-0.6,-0.5,-0.886905,-0.878474,0.517233,0.899561,0.76285,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682026,0.998559,-0.547406,0.988973,virus
-0.142857,-0.684211,-0.8,-0.833333,-0.998299,-0.247909,0.921381,0.994794,0.968347,virus
-1,-0.789474,-1,-1,-0.997449,0.289672,-1,0.99951,0.998989,virus
-1,-0.142857,-0.25,-0.25,-0.972718,-0.50018,0.99624,-1,0.974066,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.681037,0.99951,-0.547406,0.993775,virus
-1,-0.684211,-0.6,-0.666667,-0.993197,-0.358451,0.922111,-0.180557,0.745262,no-virus
-0.6,-0.714286,0,0,-0.972718,-0.66772,0.9941,-1,0.972788,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.679605,0.999657,-0.547406,0.99735,virus
-1,-0.789474,-1,-1,-0.997449,-0.375355,-1,0.990862,0.987395,virus
-1,-0.789474,-1,-1,-0.997449,0.280989,-1,0.999462,0.998569,virus
-1,-0.894737,-1,-1,-0.995748,-0.524845,-1,0.996232,0.987274,virus
-1,-0.578947,-1,-1,-0.996599,-0.180322,-1,0.993286,0.987054,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.272388,0.980271,-1,0.977185,virus
-1,-0.142857,-0.25,-0.25,-1,0.264958,0.998407,-1,0.998206,virus
0.142857,-1,-1,-0.833333,-0.895408,-0.903018,0.597204,0.140503,0.908177,virus
-0.714286,-0.684211,-1,-1,-0.997449,-0.345585,-1,0.852569,0.811721,virus
-1,-0.894737,0.8,0.5,-0.991497,-0.180135,0.992823,-1,0.989756,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.678801,0.999323,-0.547406,0.996595,virus
-1,-0.894737,-0.2,-0.333333,-0.994898,-0.23096,0.998992,0.955448,0.983515,virus
-0.142857,-0.789474,-0.8,-0.666667,-0.998299,-0.286132,0.999675,0.991964,0.996118,virus
-1,-0.789474,-0.6,-0.666667,-0.988946,-0.431522,0.975672,0.639922,0.994173,virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.230104,0.964009,0.365479,-0.475142,no-virus
-1,-0.578947,-1,-1,-0.993197,-0.209706,-1,0.926017,0.888633,virus
-1,-0.789474,-0.6,-0.666667,-0.997449,0.452714,0.999603,-1,0.999071,virus
-1,-0.789474,0.4,0.166667,-0.991497,-0.25272,0.994622,-1,0.990167,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.780078,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.680845,0.999322,-0.547406,0.988594,virus
-1,-0.789474,-0.6,-0.666667,-0.995748,0.344131,0.72702,-1,0.671542,no-virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.270886,0.980467,-1,0.977172,virus
0.142857,-0.473684,0.8,0.5,-0.998299,-0.322544,0.994091,-0.777773,0.990922,virus
-0.428571,-1,-1,-0.833333,-0.977041,-0.498514,0.447397,0.99802,0.990969,virus
-1,-0.894737,-0.8,-0.833333,-0.997449,-0.668039,-0.777769,0.977013,0.931716,virus
-1,-0.789474,-1,-1,-0.997449,0.281507,-1,0.999355,0.998326,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.985544,-0.276819,0.9667,0.471007,0.589591,no-virus
-1,-0.142857,-0.5,-0.5,-0.989507,-0.445283,0.981455,-0.460673,0.880071,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.669765,0.99903,-0.54929,0.993135,virus
0.6,-0.428571,-1,-1,-0.987408,-0.331847,-1,0.966406,0.868302,virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.164733,0.975979,0.550747,0.145494,no-virus
-0.6,-0.428571,-0.5,-0.5,-0.966422,-0.362413,0.982799,0.432879,0.701451,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.679343,0.999413,-0.547406,0.752123,no-virus
-1,-0.142857,-0.5,-0.5,-0.987408,-0.562702,0.998357,-0.357122,0.946246,virus
-1,-0.789474,-1,-1,-0.995748,-0.372017,-1,0.964997,0.957903,virus
-0.142857,-0.684211,-0.8,-0.833333,-0.998299,-0.247909,0.921381,0.994794,0.970789,virus
-1,-0.789474,-1,-1,-0.997449,0.296628,-1,0.979984,0.974952,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.78166,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.428175,0.998722,-1,0.989845,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.783278,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.988095,0.211167,0.976661,0.11058,0.925184,virus
-1,-0.142857,-0.25,-0.25,-1,0.314968,0.991984,-1,0.976912,virus
-1,-0.578947,-0.4,-0.5,-0.998299,-0.290319,0.998874,0.009116,0.991659,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.679811,0.998788,-0.547406,0.991637,virus
-0.142857,-0.578947,-0.6,-0.5,-0.886905,-0.865283,0.517233,0.898181,0.748575,no-virus
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.545319,-0.777775,0.946365,0.752119,no-virus
-1,0.714286,0.5,0.5,-0.951731,-0.273716,0.855049,-1,0.540051,no-virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.107756,0.974977,0.665184,0.446861,no-virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.421792,0.957143,-1,0.913672,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.670322,0.998572,-0.547406,0.990979,virus
-0.714286,-0.684211,-1,-1,-0.997449,-0.413913,-1,0.748908,0.68409,no-virus
-1,-0.428571,-0.5,-0.5,-0.989507,-0.272476,0.751505,-1,0.213134,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.683848,0.998907,-0.547406,0.982105,virus
-1,-0.789474,-1,-1,-0.995748,-0.323014,-1,0.897013,0.871891,virus
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.547358,-0.777775,0.946365,0.767172,no-virus
-1,-0.789474,-0.6,-0.666667,-0.988095,-0.410044,0.994966,-1,0.985367,virus
-1,-0.894737,-0.2,-0.333333,-0.994898,-0.23096,0.998992,0.955448,0.991656,virus
-1,-0.894737,0.8,0.5,-0.991497,-0.178259,0.992726,-1,0.990091,virus
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.570752,0.580112,0.991288,0.922668,virus
-0.714286,-0.684211,-0.6,-0.666667,-0.997449,-0.329762,0.999234,0.987506,0.992302,virus
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.547846,-0.777775,0.946365,0.763909,no-virus
-1,-0.789474,0.4,0.166667,-0.991497,-0.252213,0.994622,-1,0.990167,virus
-1,-0.684211,-0.4,-0.5,-1,0.944984,0.991994,-1,0.994777,virus
-1,-0.789474,-1,-1,-0.997449,0.221549,-1,0.965093,0.926306,virus
-0.2,-1,-1,-1,-0.993704,-0.900842,-1,0.95108,0.795751,virus
-0.2,-1,-1,-1,-0.993704,-0.900323,-1,0.933274,0.75744,no-virus
0.2,-0.714286,0,0,-0.987408,-0.434203,0.994661,-1,0.973034,virus
-1,-0.684211,-1,-1,-0.990646,-0.783714,-1,0.95047,0.791687,virus
-1,-0.789474,-1,-1,-0.994048,-0.38261,-1,0.99917,0.992756,virus
-0.142857,-0.578947,-0.8,-0.833333,-0.998299,-0.209548,0.922453,0.994985,0.974265,virus
-0.2,-1,-1,-1,-0.993704,-0.89824,-1,0.872166,0.555449,no-virus
-1,-0.428571,-0.5,-0.5,-0.985309,-0.277123,0.854424,-1,0.514786,no-virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.387877,0.999062,-1,0.986222,virus
-1,-0.894737,-1,-1,-0.997449,-0.31852,-1,0.956404,0.942682,virus
-1,-0.789474,-0.6,-0.666667,-0.997449,0.460348,0.99959,-1,0.998884,virus
-1,-0.684211,-0.6,-0.666667,-0.995748,-0.287733,0.980803,-0.426447,0.966933,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.78013,no-virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.181723,0.975567,0.69327,0.42777,no-virus
-1,-0.789474,-1,-1,-0.997449,0.275836,-1,0.999686,0.999321,virus
-1,-0.578947,-1,-1,-0.994898,-0.255745,-1,0.99625,0.993329,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.466099,0.99875,-1,0.997707,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.993197,-0.565534,0.977379,-0.187906,0.901246,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.990646,-0.483492,0.982195,0.461471,0.94086,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.390713,0.983521,-1,0.97469,virus
-1,-0.894737,-0.4,-0.5,-0.994898,-0.163708,0.9988,0.917226,0.988698,virus
-1,-0.789474,0.4,0.166667,-0.991497,-0.247082,0.994622,-1,0.990168,virus
-1,-0.142857,-0.5,-0.5,-0.989507,-0.428485,0.98114,-0.460673,0.871558,virus
-0.714286,-0.684211,-1,-1,-0.996599,-0.775753,-1,0.937657,0.923212,virus
-1,-0.428571,-1,-1,-0.993704,-0.003356,-1,0.686348,0.013957,no-virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.001382,0.999606,-1,0.998916,virus
-1,-0.894737,-1,-1,-0.997449,-0.316637,-1,0.953057,0.940754,virus
-1,-0.894737,-0.6,-0.666667,-0.994048,-0.281071,0.999321,-1,0.998178,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.207616,0.999006,-0.027644,0.998749,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.387877,0.999062,-1,0.987282,virus
-0.6,-0.714286,-0.5,-0.5,-0.991606,-0.689582,0.994256,0.573822,0.698913,no-virus
-1,-0.789474,-1,-1,-0.997449,0.280391,-1,0.99939,0.998682,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682951,0.999549,-0.54929,0.995055,virus
-1,-0.142857,-0.25,-0.25,-0.966422,-0.64533,0.992362,-1,0.925527,virus
0.142857,-1,-1,-0.833333,-0.895408,-0.904565,0.597204,0.094323,0.662626,no-virus
-0.142857,-0.578947,-1,-0.666667,-0.910714,-0.860852,-1,0.93946,0.883688,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.68139,0.999824,-0.547406,0.9959,virus
-0.6,-0.142857,-0.75,-0.75,-0.979014,-0.54054,-0.55555,0.946365,0.769229,no-virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.304242,0.916119,0.514945,-0.34284,no-virus
0.142857,-0.684211,-1,-1,-0.995748,-0.689265,0.606269,0.672502,0.998975,virus
-1,-0.428571,-1,-1,-0.993704,0.028426,-1,0.824944,0.44912,no-virus
-0.428571,-1,-0.8,-0.833333,-0.995748,-0.388645,0.984513,0.774125,0.972856,virus
-1,-0.789474,-0.6,-0.666667,-0.987245,-0.627813,0.959116,-0.777773,0.892727,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.406768,0.14045,-1,-0.024481,no-virus
-0.6,-0.428571,-0.75,-0.75,-0.991606,-0.4118,0.990934,0.518585,0.206021,no-virus
-0.142857,-0.789474,-1,-1,-0.995748,-0.269008,-1,0.994724,0.979137,virus
-1,0.714286,0.5,0.5,-0.951731,-0.251657,0.747334,-1,0.20844,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.679536,0.999486,-0.547406,0.993161,virus
0.2,-1,-0.75,-0.75,-0.993704,-0.690389,0.99962,0.440447,0.866407,virus
0.142857,-0.473684,0.8,0.5,-0.998299,-0.304525,0.99385,-1,0.990525,virus
-1,-0.578947,-0.4,-0.5,-0.998299,-0.205337,0.998756,0.92365,0.993187,virus
-1,0.714286,0.5,0.5,-0.951731,-0.265619,0.837046,-1,0.487072,no-virus
-1,-0.578947,-0.4,-0.5,-0.998299,-0.205337,0.998756,0.92365,0.987138,virus
-1,-0.789474,-1,-1,-0.997449,0.280834,-1,0.9993,0.998146,virus
-1,-0.684211,-1,-1,-0.994048,-0.443178,-1,0.979686,0.967005,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.675423,0.99937,-0.54929,0.988533,virus
-0.6,-0.428571,-0.5,-0.5,-0.985309,-0.407312,0.913405,-0.674626,0.613835,no-virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.783034,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.270886,0.980467,-1,0.977374,virus
-1,-0.428571,-0.5,-0.5,-0.989507,-0.269843,0.75796,-1,0.230898,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.68263,0.998942,-0.547406,0.991859,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.683489,0.999554,-0.547406,0.996066,virus
-0.6,-0.714286,0,0,-0.972718,-0.496868,0.994355,-1,0.97314,virus
-0.6,-0.714286,-0.5,-0.5,-0.991606,-0.686306,0.99464,0.483026,0.817443,virus
-1,-0.714286,-1,-1,-0.985309,-0.509438,-1,0.99912,0.986641,virus
-1,-0.894737,-0.6,-0.666667,-0.994048,-0.286248,0.999282,-1,0.997982,virus
-0.2,0.428571,0,0,-1,1,0.996989,-0.759221,0.874796,virus
-1,0.714286,0.5,0.5,-0.951731,-0.207521,0.878723,-1,0.607263,no-virus
-1,-0.789474,-1,-1,-0.997449,0.288308,-1,0.999505,0.99889,virus
-1,-0.789474,-0.6,-0.666667,-0.997449,0.458954,0.999493,-1,0.996864,virus
0.6,-0.714286,-0.75,-0.5,-0.895068,-0.633137,0.953241,0.060199,0.79081,virus
-1,-0.789474,-1,-1,-0.996599,-0.215789,-1,0.998482,0.997236,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.395438,-0.483778,-1,-0.759694,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.687812,0.998146,-0.547406,0.984209,virus
-1,-0.894737,-0.6,-0.666667,-0.994048,-0.286248,0.999282,-1,0.997937,virus
-1,-0.894737,-1,-1,-0.997449,0.237443,-1,0.959762,0.930931,virus
-1,-0.684211,0.2,0,-0.993197,-0.245916,0.974143,-1,0.962028,virus
0.6,-0.428571,-1,-1,-0.987408,-0.331847,-1,0.966406,0.814205,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682253,0.998867,-0.547406,0.991171,virus
0.142857,-1,-1,-0.833333,-0.895408,-0.903702,0.597204,0.152155,0.65931,no-virus
-1,-0.684211,-0.6,-0.666667,-0.997449,0.37967,0.95167,-0.550278,0.935904,virus
-0.6,-0.714286,-0.75,-0.75,-0.993704,-0.696964,-0.777775,0.963008,0.924626,virus
-1,-0.142857,-0.5,-0.5,-0.989507,-0.428485,0.98114,-0.460673,0.908952,virus
-1,-0.789474,-1,-1,-0.995748,-0.458914,-1,0.915005,0.894294,virus
-1,-0.684211,-0.6,-0.666667,-0.993197,-0.262485,0.980135,-0.152745,0.96267,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.779652,no-virus
-0.142857,-0.578947,-0.6,-0.5,-0.886905,-0.878474,0.517233,0.899561,0.759866,no-virus
-0.6,-0.142857,0.75,0.75,-0.974816,-0.402079,0.968348,-1,0.94416,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.681312,0.999452,-0.547406,0.989705,virus
-1,-0.789474,-0.6,-0.666667,-1,-0.307474,0.983041,0.999194,0.986768,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.685473,0.99959,-0.570057,0.991377,virus
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.301741,0.9996,0.99882,0.999236,virus
-1,-0.142857,-0.25,-0.25,-1,0.280061,0.999555,-1,1,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.988946,-0.614073,0.999226,-1,0.998563,virus
-1,-0.578947,-0.4,-0.5,-0.998299,-0.25478,0.999256,0.918532,0.994143,virus
-1,-0.789474,-1,-1,-0.997449,-0.373854,-1,0.999432,0.997449,virus
-0.714286,-0.789474,0.2,0,-0.989796,-0.299852,0.966781,-1,0.956881,virus
0.2,-0.714286,0,0,-0.995803,-0.19005,0.934878,-1,0.788812,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.682592,0.998533,-0.547406,0.990744,virus
0.142857,-0.684211,-1,-1,-0.996599,-0.178687,-1,0.992591,0.986042,virus
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.413345,0.998881,-1,0.992783,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,-0.082853,0.970054,-1,0.94703,virus
-1,-0.789474,-1,-1,-0.997449,0.299827,-1,0.99949,0.998846,virus
-1,-0.789474,-1,-1,-0.997449,0.279402,-1,0.999557,0.999057,virus
0.6,-0.428571,-0.5,-0.25,-0.895068,-0.579835,0.953522,0.060199,0.727606,no-virus
-1,-0.894737,-0.4,-0.5,-0.998299,-0.283183,0.999197,-0.460778,0.98638,virus
-1,-0.894737,-0.6,-0.666667,-0.994048,-0.282572,0.999379,-1,0.99826,virus
-0.2,-0.428571,0,0,-0.987408,-0.414035,0.988774,-1,0.950007,virus
0.2,-0.714286,0,0,-0.995803,-0.290201,0.862316,-1,0.569143,no-virus
0.2,-1,-0.75,-0.75,-0.993704,-0.702302,0.996189,0.454323,0.605868,no-virus
0.2,-0.714286,0,0,-0.995803,-0.00203,0.918323,-1,0.741279,no-virus
-1,-0.789474,-0.6,-0.666667,-1,-0.311047,0.979877,0.99925,0.984359,virus
0.2,-0.714286,0,0,-0.995803,-0.114381,0.929972,-1,0.775837,no-virus
-0.714286,-0.894737,-0.6,-0.666667,-0.987245,-0.604309,0.996606,-1,0.995476,virus
-1,1,0.75,0.75,-0.951731,-0.06222,0.801773,0.386323,0.348731,no-virus
0.6,-0.428571,-1,-1,-0.987408,-0.331847,-1,0.966406,0.827908,virus
-0.714286,-0.789474,-0.8,-0.833333,-0.997449,-0.391965,0.938036,0.999531,0.992368,virus
-0.142857,-0.789474,-1,-1,-0.995748,-0.269008,-1,0.994724,0.987441,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.06676,0.997682,-1,0.996609,virus
-1,-0.789474,0.4,0.166667,-1,-0.25315,0.991295,-1,0.983468,virus
-1,-0.428571,-1,-1,-0.993704,0.018913,-1,0.80714,0.391748,no-virus
-1,-0.684211,-0.6,-0.666667,-0.994048,-0.350872,0.968053,-0.272588,0.747623,no-virus
-1,-0.428571,-0.5,-0.5,-0.987408,-0.513441,0.969828,-1,0.893311,virus
-1,-0.684211,-0.6,-0.666667,-0.997449,0.402305,0.950726,-0.547025,0.906679,virus
0.2,-0.714286,-0.75,-0.75,-0.987408,-0.199203,0.977415,0.463857,0.172665,no-virus
-0.714286,-0.684211,-0.4,-0.5,-0.988946,-0.366442,0.958052,-0.227857,0.896621,virus
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.316266,0.999579,0.999394,0.999091,virus
-1,-0.789474,-1,-1,-0.997449,0.284852,-1,0.999634,0.999295,virus
0.142857,-1,-1,-0.833333,-0.895408,-0.901904,0.597204,0.158421,0.853925,virus
-1,-0.789474,-0.6,-0.666667,-0.997449,0.461399,0.999615,-1,0.999111,virus
-0.6,-0.714286,-0.5,-0.5,-0.991606,-0.684668,0.994886,0.629766,0.852899,virus
-1,-0.789474,-0.6,-0.666667,-0.987245,-0.403941,0.993123,-1,0.985512,virus
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.568042,-0.051917,0.991288,0.94851,virus
-1,-0.428571,-0.5,-0.5,-0.989507,-0.270107,0.723922,-1,0.128053,no-virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.683689,0.999912,-0.547406,0.998435,virus
-1,-0.684211,-0.6,-0.666667,-0.997449,0.376615,0.951434,-0.550447,0.93101,virus
-0.142857,-0.789474,-1,-1,-0.995748,-0.269008,-1,0.994724,0.985877,virus
-0.2,-1,-1,-1,-0.993704,-0.900219,-1,0.950374,0.777969,no-virus
-0.714286,-0.789474,-0.6,-0.666667,-0.986395,-0.271096,0.955004,0.464266,0.584513,no-virus
-1,-0.473684,-1,-1,-0.995748,-0.228575,-1,0.993477,0.985619,virus
-0.142857,-0.578947,-0.6,-0.5,-0.886905,-0.878474,0.625234,0.899561,0.770454,no-virus
-1,-0.142857,-0.25,-0.25,-0.972718,-0.639709,0.99779,-1,0.976235,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.080995,0.993991,-1,0.992544,virus
-0.142857,-0.789474,-1,-1,-0.995748,-0.261552,-1,0.98997,0.982368,virus
0.6,-0.714286,-0.75,-0.5,-0.895068,-0.633137,0.953572,0.060199,0.793379,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.990646,-0.439851,0.991882,0.503628,0.96932,virus
-1,-0.894737,-1,-1,-0.997449,-0.328262,-1,0.953907,0.9419,virus
-0.2,0.142857,0,0,-1,-0.337615,0.997967,-0.77773,0.990345,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.549883,-1,0.946365,0.766839,no-virus
-1,-0.578947,-0.4,-0.5,-0.998299,-0.406014,0.99848,-0.288407,0.987184,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.988095,-0.575525,0.879594,-0.045015,0.648843,no-virus
0.142857,-0.684211,-0.8,-0.833333,-0.997449,-0.37221,0.962048,0.999726,0.998365,virus
-0.714286,-0.789474,-0.6,-0.666667,-0.989796,-0.25002,0.951849,0.544539,0.57208,no-virus
-0.6,-0.142857,-1,-1,-0.979014,-0.551104,-1,0.946364,0.757576,no-virus
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.577175,-0.098119,0.991288,0.943995,virus
-0.142857,-0.789474,-0.6,-0.666667,-0.989796,-0.373266,0.719597,0.995236,0.977031,virus
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.568042,-0.188217,0.991288,0.955565,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.680094,0.998605,-0.547406,0.990092,virus
-0.142857,-0.789474,-1,-1,-0.990646,0.043279,-1,0.944403,0.929068,virus
-0.6,-0.428571,-1,-1,-0.979014,-0.59705,-1,0.946365,0.782622,virus
-0.714286,-0.894737,0.2,0,-0.991497,-0.28585,0.994621,-1,0.990107,virus
-1,-0.789474,0.4,0.166667,-0.991497,-0.250935,0.994622,-1,0.990167,virus
0.142857,-1,-1,-0.833333,-0.895408,-0.903369,0.597204,0.191912,0.767949,no-virus
-0.714286,-0.894737,-0.6,-0.666667,-0.989796,-0.603786,0.998586,-1,0.997843,virus
-1,-0.684211,-0.4,-0.5,-0.994048,-0.306092,0.999379,-1,0.997874,virus
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.685542,0.999662,-0.547406,0.993196,virus
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.066382,0.991413,-1,0.988333,virus
-1,0.714286,0.5,0.5,-0.951731,-0.372264,0.878974,-1,0.602851,no-virus
